id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;;2.57E+11;25.7;6630000;2690000;;G';12389.69509;slip;0.004128533;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.86E+11;46.1;1280000;322000;;G';865.6174851;slip;0.001427884;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.12E+11;53.5;890000;1620000;;G';334.518696;slip;0.001156581;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.22E+11;22.5;4700000;344000;;G';5792.558772;slip;0.002556958;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.93E+11;26.8;4380000;1140000;;G';5738.742922;slip;0.002851127;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.36E+11;55.7;340000;69700;;G';71.91791751;slip;0.000465112;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;16300000000;12.2;3920000;77400;;G';2111.94318;slip;0.001161975;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;37000000000;21.1;1730000;50600;;G';726.5719922;slip;0.000881791;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;19700000000;20.1;1060000;24900;;G';254.5890809;slip;0.000517372;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;41800000000;23.7;1370000;59600;;G';507.10231;slip;0.000789602;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4990000000;11.1;1590000;13800;;G';305.9737957;slip;0.000429718;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4960000000;10.7;1780000;10200;;G';380.74485;slip;0.000459667;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;6350000000;6.4;10400000;18500;;G';8409.774133;slip;0.001644912;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;48300000000;32.3;630000;186000;;G';97.98351364;slip;0.000491214;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;22200000000;17.6;1780000;239000;;G';431.1816511;slip;0.000760425;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;0;0;0;33400;;G';#DIV/0!;slip;#DIV/0!;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;35500000000;27.7;730000;179000;;G';104.9223571;slip;0.000490905;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;12700000000;20.4;650000;3550;;G';102.5185868;slip;0.000323797;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;16800000000;20.1;900000;7210;;G';192.8642287;slip;0.000441211;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;7.59E+18;4449.296152;12280000;2.95E+14;;G';20234529.53;slip;4.068066283;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.88E+18;2077.563906;21090000;9.77E+13;;G';67450013.04;slip;7.079662868;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;7.94E+17;2108.052265;10380000;2.57E+13;;G';7998209.606;slip;1.895774279;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;6.92E+17;1496.34067;17500000;2.69E+13;;G';24869195.64;slip;3.279246071;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.27E+17;1637.688812;9260000;1.02E+13;;G';6610665.117;slip;1.689250217;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.14E+17;983.8952353;17420000;8.91E+12;;G';17500004.61;slip;2.345551274;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.48E+17;1330.080596;5000000;1.86E+12;;G';1884426.217;slip;0.887635519;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.58E+17;1207.131969;8240000;3.63E+12;;G';3946996.397;slip;1.150473067;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.37E+16;916.6280132;6180000;8.13E+11;;G';1787438.127;slip;0.678136167;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.62E+16;1532.836784;2120000;6.92E+11;;G';175268.1763;slip;0.253789331;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.63E+16;663.2855742;13040000;1.74E+12;;G';2876609.001;slip;0.634283651;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.37E+16;931.0564171;7340000;1.1E+12;;G';2008305.962;slip;0.657281128;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.02E+16;4189.753877;130000;1.07E+11;;G';-753.7343416;slip;0.018254031;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.88E+16;1004.536394;3210000;3.16E+11;;G';386352.7017;slip;0.302823803;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.91E+16;589.4143789;9470000;5.5E+11;;G';2258177.395;slip;0.583338697;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.15E+16;623.397973;6660000;4.47E+11;;G';679415.9623;slip;0.313975631;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.12E+16;718.2435218;3870000;1.86E+11;;G';330975.2062;slip;0.230358085;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.29E+16;1434.437847;1090000;1.55E+11;;G';12275.34163;slip;0.06652044;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.25E+15;407.4314953;11060000;3.02E+11;;G';1276591.965;slip;0.335566795;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.71E+15;1274.449848;670000;38900000000;;G';11437.53177;slip;0.056898593;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.55E+15;350.4848137;4730000;32400000000;;G';232673.9432;slip;0.133881991;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.75E+14;192.4848642;13440000;40700000000;;G';756890.1714;slip;0.164665853;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.57E+14;200.8671455;5390000;7410000000;;G';123680.1169;slip;0.067584045;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.8E+14;288.5339829;2770000;7240000000;;G';39394.34973;slip;0.048430453;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.95E+14;201.7942867;3950000;6030000000;;G';53213.28196;slip;0.050809597;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.47E+14;459.7809467;910000;2880000000;;G';3587.912588;slip;0.01741632;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;9.12E+13;129.3799447;8320000;4790000000;;G';149396.2829;slip;0.057808245;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;9.77E+13;133.2548278;6980000;5250000000;;G';109631.4429;slip;0.058379118;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.91E+13;119.2812492;6910000;3720000000;;G';146343.4054;slip;0.066444987;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.57E+13;89.94104924;7620000;1350000000;;G';75310.14268;slip;0.033709018;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.88E+13;115.0636149;4670000;1070000000;;G';28167.83463;slip;0.023080506;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.75E+13;115.7523806;3530000;562000000;;G';25085.33522;slip;0.021777183;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.41E+19;5002.691196;22250000;2E+15;;G';41065503.78;slip;5.977789168;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.8E+17;1170.594797;36830000;6.31E+13;;G';39526277.71;slip;2.942383593;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.14E+16;727.5983578;6820000;6.61E+11;;G';1065122.825;slip;0.42890314;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.15E+17;1581.039199;3420000;2.34E+12;;G';536738.1081;slip;0.488136674;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.05E+16;3243.680421;110000;26300000000;;G';-213.2863811;slip;0.010588686;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;6.03E+16;1029.212825;4620000;8.51E+11;;G';1139513.645;slip;0.603998425;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.13E+15;490.0296932;6950000;2.34E+11;;G';938144.7896;slip;0.359231676;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.05E+15;267.8585324;6650000;29500000000;;G';385419.7585;slip;0.155277025;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1E+15;273.5421465;8350000;49000000000;;G';383572.6571;slip;0.141801352;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1E+16;495.5844901;7090000;1.07E+11;;G';1392799.151;slip;0.432009662;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.47E+14;196.9332022;10950000;28800000000;;G';433172.6782;slip;0.12229213;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.5E+14;261.2473189;4740000;13800000000;;G';138283.7476;slip;0.085504285;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.75E+14;183.3256026;9240000;18600000000;;G';224940.4185;slip;0.086819109;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.5E+13;103.1641459;9540000;3630000000;;G';152981.2451;slip;0.054831988;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.69E+19;7734.930234;10540000;1.86E+15;;G';15245007.21;slip;4.770548888;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.09E+17;2360.424719;2690000;3.63E+12;;G';584076.0798;slip;0.588446581;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;9.55E+16;987.7612283;8250000;2E+12;;G';3631533.993;slip;1.038552113;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.62E+16;1375.568988;3350000;9.33E+11;;G';370903.679;slip;0.315137754;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.45E+16;1331.842292;1310000;1.2E+11;;G';74456.97781;slip;0.146551192;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;9.55E+15;675.312915;5450000;3.02E+11;;G';394675.9156;slip;0.222188785;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.48E+16;741.5493587;5380000;4.07E+11;;G';532585.4491;slip;0.285568605;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.35E+16;571.654878;6360000;3.16E+11;;G';1086068.374;slip;0.438323559;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.37E+15;534.0100533;3390000;77600000000;;G';188982.2629;slip;0.162596594;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;7.24E+15;1274.449848;1160000;1.55E+11;;G';-2944.877815;slip;0.047295731;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.98E+16;763.5086792;4230000;3.55E+11;;G';1338282.388;slip;0.724409252;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.9E+15;436.8118725;9490000;2.75E+11;;G';834153.046;slip;0.272480912;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.75E+15;451.522645;7900000;3.09E+11;;G';699600.0719;slip;0.299252402;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2E+15;365.9173692;7560000;1.23E+11;;G';306671.7616;slip;0.158486698;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.9E+15;498.2858922;5050000;1.51E+11;;G';335139.963;slip;0.209395705;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.63E+15;455.4080301;8570000;1.05E+11;;G';415393.2784;slip;0.134549861;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.32E+14;352.8213791;3500000;20900000000;;G';70659.99734;slip;0.070915703;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.32E+14;289.6977616;6340000;34700000000;;G';201832.544;slip;0.105186964;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.66E+14;157.066687;9230000;10000000000;;G';200461.2764;slip;0.071395164;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2E+14;176.9384006;6630000;7080000000;;G';152712.9496;slip;0.067782046;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.63E+14;223.3046703;4560000;7410000000;;G';80290.85918;slip;0.055961456;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.32E+13;163.6889029;3970000;2340000000;;G';37600.57736;slip;0.032946837;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.75E+14;247.6701799;2670000;3720000000;;G';44199.24291;slip;0.047567916;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.9E+13;110.2687718;6010000;1910000000;;G';78487.55928;slip;0.042758246;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.01E+13;156.504425;2240000;631000000;;G';16106.76701;slip;0.021702679;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.47E+13;141.2078262;2960000;794000000;;G';22527.92338;slip;0.02378586;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.69E+13;103.1641459;4600000;676000000;;G';41462.952;slip;0.026817827;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.04E+16;328.0720817;28720000;1.57E+12;;G';10079248.57;slip;1.025235565;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.94E+14;172.2701611;7270000;26700000000;;G';225667.4194;slip;0.140865608;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.77E+13;115.5130305;3130000;904000000;;G';50240.03989;slip;0.045882041;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.09E+13;68.04309991;9150000;2300000000;;G';165845.7171;slip;0.070814007;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.63E+13;60.81655561;6410000;457000000;;G';110535.3393;slip;0.046759821;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.89E+13;74.09482945;8720000;1980000000;;G';212985.69;slip;0.07518006;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.74E+13;38.58856898;31140000;1880000000;;G';1528534.568;slip;0.12398261;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;9.66E+12;39.07896819;15970000;1110000000;;G';304554.2731;slip;0.067115035;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;8.77E+12;41.18368817;12000000;447000000;;G';245287.4007;slip;0.054862803;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.26E+13;41.57876821;17170000;951000000;;G';488790.0302;slip;0.077331455;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;7.66E+12;40.12853901;11620000;384000000;;G';217336.8647;slip;0.05047205;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;6.15E+12;35.69418659;13240000;431000000;;G';231373.1889;slip;0.051216395;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.52E+12;48.21813227;3050000;48400000;;G';17871.07954;slip;0.016063892;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.85E+12;24.76518805;20880000;145000000;;G';439488.7035;slip;0.049304944;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.55E+12;32.62307142;4730000;41900000;;G';24014.3539;slip;0.015452931;Baltay et al., 2011;Baltay et al., 2011;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3040;0.21;152000;0.000636;;G';0.050996949;slip;7.31415E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2290;0.21;108000;0.000137;;G';0.028763376;slip;5.50967E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2000;0.2;117000;0.000265;;G';0.028926411;slip;5.30516E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2470;0.18;187000;0.0000556;;G';0.075083473;slip;8.08874E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;8150;0.24;268000;0.00172;;G';0.191667498;slip;1.50129E-06;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1840;0.27;39400;0.0000309;;G';0.005140843;slip;2.67805E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1550;0.17;129000;0.000165;;G';0.034887424;slip;5.69066E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1370;0.25;37700;0.0000329;;G';0.004216545;slip;2.32578E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2590;0.22;109000;0.000236;;G';0.029392147;slip;5.67784E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1390;0.18;97000;0.000175;;G';0.020357751;slip;4.55196E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1200;0.2;62900;0.0000958;;G';0.009248494;slip;3.1831E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2120;0.27;49200;0.0000415;;G';0.007409328;slip;3.08558E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1440;0.27;31900;0.0000212;;G';0.003250341;slip;2.09587E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1730;0.24;53200;0.0000701;;G';0.008089455;slip;3.18678E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1540;0.21;69200;0.000142;;G';0.011795029;slip;3.70519E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;1450;0.26;38000;0.000205;;G';0.003358891;slip;2.27588E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;5900;0.27;125000;0.000268;;G';0.052500027;slip;8.58724E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
;;2640;0.23;90600;0.000205;;G';0.022753441;slip;5.29514E-07;Collins & Young, 2000;Collins & Young, 2000;Cocco et al., in prep.;Selvadurai, 2019;sm;induced
